
2024/09/22 (17:48:25) | ===> btop++ v.1.4.0
2024/09/22 (17:48:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/05 (23:33:59) | ===> btop++ v.1.4.0
2024/10/05 (23:33:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/09 (19:25:18) | ===> btop++ v.1.4.0
2024/10/09 (19:25:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/16 (23:12:42) | ===> btop++ v.1.4.0
2024/10/16 (23:12:42) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/17 (22:15:36) | ===> btop++ v.1.4.0
2024/10/17 (22:15:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/21 (21:54:13) | ===> btop++ v.1.4.0
2024/10/21 (21:54:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (10:35:27) | ===> btop++ v.1.4.0
2024/10/29 (10:35:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (23:46:08) | ===> btop++ v.1.4.0
2024/10/29 (23:46:08) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/01 (21:30:07) | ===> btop++ v.1.4.0
2024/11/01 (21:30:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/02 (00:15:45) | ===> btop++ v.1.4.0
2024/11/02 (00:15:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/15 (19:27:59) | ===> btop++ v.1.4.0
2024/11/15 (19:27:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/08 (13:34:57) | ===> btop++ v.1.4.0
2025/02/08 (13:34:57) | WARNING: Failed to join _runner thread on exit!

2025/02/15 (14:16:14) | ===> btop++ v.1.4.0
2025/02/15 (14:16:14) | WARNING: Failed to join _runner thread on exit!

2025/02/15 (16:30:59) | ===> btop++ v.1.4.0
2025/02/15 (16:30:59) | WARNING: Failed to join _runner thread on exit!

2025/02/15 (16:31:20) | ===> btop++ v.1.4.0
2025/02/15 (16:31:20) | WARNING: Failed to join _runner thread on exit!

2025/02/23 (16:26:51) | ===> btop++ v.1.4.0
2025/02/23 (16:26:51) | WARNING: Failed to join _runner thread on exit!

2025/02/23 (16:33:03) | ===> btop++ v.1.4.0
2025/02/23 (16:33:03) | WARNING: Failed to join _runner thread on exit!

2025/03/01 (13:35:31) | ===> btop++ v.1.4.0
2025/03/01 (13:35:31) | WARNING: Failed to join _runner thread on exit!

2025/03/11 (17:57:53) | ===> btop++ v.1.4.0
2025/03/11 (17:57:53) | WARNING: Failed to join _runner thread on exit!
